N,P-I,P-DP,C-I,C-DP
1,0.000001,0.000002,0.000001,0.000023
101,0.000009,0.000016,0.000001,0.000018
201,0.000015,0.000028,0.000001,0.000018
301,0.000024,0.000042,0.000001,0.000019
401,0.000031,0.000057,0.000002,0.00002
501,0.000039,0.000071,0.000003,0.000021
601,0.000049,0.000088,0.000005,0.000022
701,0.000056,0.000106,0.000003,0.000023
801,0.000065,0.000123,0.000004,0.000019
901,0.000074,0.000137,0.000004,0.00002
1001,0.000081,0.000154,0.000004,0.000022
1101,0.00009,0.000166,0.000005,0.000022
1201,0.000099,0.000185,0.000008,0.000024
1301,0.000109,0.0002,0.000006,0.000064
1401,0.000118,0.000216,0.000006,0.000028
1501,0.000133,0.000236,0.000007,0.000027
1601,0.000139,0.00025,0.000007,0.000029
1701,0.00015,0.00026,0.000008,0.00003
1801,0.000158,0.000283,0.000008,0.000031
1901,0.000169,0.000313,0.000008,0.000033
2001,0.000179,0.000315,0.000009,0.000034
2101,0.000191,0.000328,0.000014,0.000036
2201,0.000205,0.000353,0.00001,0.000038
2301,0.000213,0.000365,0.00001,0.000039
2401,0.000224,0.000379,0.000011,0.00004
2501,0.000237,0.000399,0.000011,0.000039
2601,0.000256,0.000419,0.000012,0.00004
2701,0.000256,0.000435,0.000014,0.000042
2801,0.00027,0.000459,0.000012,0.000043
2901,0.000281,0.000481,0.000013,0.000044
3001,0.0003,0.000524,0.000014,0.000046
3101,0.000303,0.000513,0.000014,0.000048
3201,0.000325,0.000537,0.000014,0.000049
3301,0.000339,0.000552,0.000015,0.000049
3401,0.000345,0.000567,0.000015,0.00005
3501,0.000362,0.000595,0.000016,0.000051
3601,0.00039,0.000611,0.00002,0.000054
3701,0.000391,0.000629,0.000016,0.000054
3801,0.00041,0.000647,0.000017,0.000056
3901,0.000416,0.00066,0.000017,0.000057
4001,0.000432,0.000689,0.000018,0.000059
4101,0.000461,0.000721,0.000033,0.00006
4201,0.000472,0.000734,0.000019,0.00006
4301,0.000483,0.000746,0.000019,0.000061
4401,0.000492,0.00077,0.00002,0.000063
4501,0.000525,0.000792,0.00002,0.000063
4601,0.000524,0.000827,0.00002,0.000065
4701,0.000536,0.000843,0.000021,0.000065
4801,0.000579,0.000896,0.000021,0.000067
4901,0.000598,0.000923,0.000022,0.000068
5001,0.0006,0.000913,0.000032,0.000091
5101,0.000609,0.000923,0.000022,0.000071
5201,0.000643,0.000965,0.000023,0.000071
5301,0.000663,0.000985,0.000036,0.000128
5401,0.000693,0.001005,0.000061,0.000072
5501,0.000705,0.001043,0.000032,0.000129
5601,0.000714,0.001083,0.000035,0.000116
5701,0.00074,0.001108,0.000031,0.000092
5801,0.000751,0.001124,0.000026,0.000074
5901,0.000802,0.001159,0.000026,0.000074
6001,0.000802,0.001185,0.000026,0.000075
6101,0.000835,0.001201,0.000052,0.000075